soil,pH,type,temp,rainfall,humidity,sowing_month,crop
black,6.063603714273239,loam,23.321507846157083,77.46120493194128,57.66388540156623,7,maize
alluvial,6.025738333608373,clay,35.878778089495555,176.76884185140807,63.30991785039079,5,rice
laterite,6.488525234676855,clay,32.46781959319277,88.93295271651755,59.02154728555102,6,cotton
redandyellow,6.059400128326616,loam,24.93003854399148,121.6430949049466,73.82997699069797,10,coffee
alluvial,5.679514515114095,clay,21.77532537852234,232.0206115177031,60.10305192860933,6,rice
black,7.015889235835369,loam,36.78874955570993,159.93058135253824,52.47335670998011,12,sugarcane
alluvial,6.38803066936994,loam,32.56091421744334,225.9445216395588,86.62705319889139,5,jute
laterite,5.721829362145276,loam,20.800502979228273,179.33824452344874,73.65359622420904,10,coffee
redandyellow,6.864805449157867,loam,27.372014525487742,154.42366364173387,51.66940075556211,8,sugarcane
black,6.649027242838723,loam,33.56176553571645,152.58242765368644,51.953890046960936,10,sugarcane
laterite,5.541356332317436,loam,16.852345638744065,220.1116200510706,75.17782291506747,8,coffee
black,6.7963475740060435,loam,37.47628778264465,147.92996435761842,51.951026691825,10,sugarcane
mountain,5.210594406544423,loam,22.198272429191896,280.1018026952169,74.3511395988605,5,tea
alluvial,6.266128591285629,clay,33.73457574088971,184.37506354008553,60.11475717562338,6,rice
alluvial,6.53491934161381,loam,21.44228137454946,79.36691669511752,53.01571218368249,10,wheat
redandyellow,6.410338055861376,loam,19.078273442392412,209.70119778468455,70.94011323854652,12,coffee
laterite,6.347042914829672,loam,19.405893593598602,145.039892091759,79.990248589759,9,coffee
black,5.861410556950499,loam,26.473119015790818,77.68561010528919,62.31812349853676,5,maize
alluvial,5.543660241052821,clay,27.811808960149282,286.82831112637825,66.92742372991856,6,rice
alluvial,6.289873296174822,loam,21.716183634161748,85.36004452381944,62.93432375021075,6,maize
mountain,4.543191071195858,clay,26.693084496389403,213.80370609228797,73.36531040365463,2,tea
mountain,4.54039001152287,clay,24.99781231927858,254.51471737391807,73.46594398499155,3,tea
redandyellow,7.09288532186757,loam,29.52394023254102,143.58480478930042,50.33622421646308,9,sugarcane
redandyellow,7.123910342718895,loam,31.314272061000672,158.54096747896267,59.302285614652334,11,sugarcane
alluvial,6.31697267052978,clay,33.65116599053579,235.2339618628902,66.59025303912206,6,rice
alluvial,6.317224954957815,clay,35.125572473577954,252.08610708465827,61.09732393837775,6,rice
alluvial,5.990558030932703,clay,33.87236906797029,231.61454503909016,82.32735571875814,6,jute
alluvial,6.674985638246395,clay,27.21294321616437,192.15983404800375,80.95136569765265,4,jute
laterite,6.323588429827374,loam,32.436747820691075,77.2334721018417,56.55207370354346,5,cotton
laterite,5.947760396945395,loam,15.647121325460196,222.11030783404277,88.47850043473379,11,coffee
alluvial,6.551867071811765,loam,26.648905438726583,206.66489471117748,75.54065532016475,5,jute
black,7.278063730522934,loam,30.185288579590033,150.1991167584524,58.09319044534856,10,sugarcane
black,6.30571386951438,sand,24.638648763532522,81.53895176174952,56.30780368562243,4,cotton
black,6.5045925489525525,loam,33.952248391947435,155.7050318987316,58.29689798091049,11,sugarcane
alluvial,6.6414958059688844,loam,31.938375709778857,142.56401273804718,58.7134150199744,9,sugarcane
black,6.375297484745125,clay,22.42857019897404,69.68656648945351,52.95944598376296,2,cotton
alluvial,6.563429041309906,loam,20.32507842914733,93.80139278842509,55.89112845405667,11,wheat
redandyellow,6.510185450434793,loam,37.141739192910485,141.176657755849,50.80036254612433,10,sugarcane
laterite,5.918974214287644,loam,24.213474022232425,194.62848531650044,82.07737131162806,10,coffee
laterite,5.750206250098457,loam,23.826515274914993,126.0653222791901,75.73545909996419,10,coffee
black,6.1141471987653295,clay,22.36724583792813,32.19634922533534,53.93197031553524,10,wheat
alluvial,6.99611485530683,clay,24.746090643944502,51.50058304146426,51.82460707749932,9,wheat
black,6.117953133361704,clay,31.86204738285104,63.669818380713096,52.015358207305134,5,cotton
alluvial,6.776759797627993,loam,36.67237051858656,207.6792948486531,76.6072496250592,6,jute
alluvial,6.334998789229748,clay,27.032231341205613,262.9812868622707,67.67817995491507,6,rice
alluvial,6.291265261879965,clay,31.82029378557188,192.34012569444607,77.9366500819435,6,jute
alluvial,6.437728333470154,loam,28.06565998895134,217.52326636313845,73.15444671685374,6,jute
black,6.449290035166637,loam,31.743664478607215,54.19563165410471,56.617620024128655,3,cotton
alluvial,5.843629860058984,clay,27.66287624993667,184.72576188954454,61.766290472552356,5,rice
laterite,6.488158951754192,loam,19.487580059732235,155.344860906931,87.32191999665906,10,coffee
alluvial,6.456233342838026,clay,25.454013771225245,296.01197819353865,65.29348765426322,5,rice
alluvial,5.894151829796453,clay,33.478889624337285,193.62017495239377,67.77215371373902,6,rice
black,6.1993983613048425,sand,26.329342734067744,67.5038710898666,58.83335499865608,5,maize
alluvial,6.488454784238173,clay,32.90163828297484,236.94413917165525,64.19932213680148,4,rice
laterite,6.207828398452779,sand,28.491971221294726,96.62745956983953,54.323453422864745,2,cotton
alluvial,5.88855651964369,loam,23.52034893174688,91.95652404487699,57.97294962957708,7,maize
black,6.126098364339255,clay,23.56915706920986,80.53693787033215,51.1809592576059,5,cotton
black,6.06852802334401,sand,24.290466937092994,97.18057717657422,64.51131911689046,5,maize
mountain,4.834945317266799,clay,20.7821988693391,268.47993782688087,70.6579626748121,3,tea
alluvial,6.130006523802797,loam,23.86363943014026,48.64313035745626,51.87398603754182,9,wheat
black,6.822448641013638,clay,22.773279590562456,58.30684907438901,54.5783236957778,11,wheat
black,6.3230776487936335,loam,24.88713893492534,77.01337380010344,54.54346116717109,12,wheat
